element_id	page_no	position_in_page	self_ref	text50	label
0368ad2ef0	1	312	#/texts/303	are helper objects provided by MLflow to support a	text
948159dd0e	1	313	#/texts/304	Logging with LangChain Flavor	section_header
3005abbc0f	1	314	#/texts/305	With model signature and dependent resources defin	text
7f8be780d9	1	315	#/texts/306	image_filename = \"lc_agent.png\"	code
400aa10cf4	1	316	#/texts/307		code
b977548896	1	317	#/texts/308	with mlflow . start_run (): logged_agent_info = ml	code
ca4ff10808	1	318	#/texts/309		code
8f7681ab30	1	319	#/texts/310	)	code
c72ba783a4	1	320	#/texts/311	If you're already familiar with MLflow, this is th	text
1720de2949	1	321	#/texts/312	model_id	code
c1d13fd30e	1	322	#/texts/313	of the	text
c4d324eb20	1	323	#/texts/314	tool_calling_agent_with_error LoggedModel	code
94a32df538	1	324	#/texts/315	to the	text
cbfb83117d	1	325	#/texts/316	model_id	code
a387217632	1	326	#/texts/317	parameter of	text
ca58bd0e8e	1	327	#/texts/318	mlflow.langchain.log_model	code
ed69d4e2e2	1	328	#/texts/319	. This ensures that the artifacts are packaged and	text
5f096d09e3	1	329	#/texts/320	When you run the preceding code snippet, you'll en	text
2836b3196c	1	330	#/texts/321	mlflow.exceptions.MlflowException: LangChain v1 on	code
7305bbf32d	1	331	#/texts/322	At first glance, it may seem that MLflow does not 	text
72853b7eed	1	332	#/texts/323	When MLflow logs a model, it serializes the model 	text
c7710b760f	1	333	#/texts/324	Note	section_header
40d41569f2	1	334	#/texts/325	This is not unique to LangChain. Many GenAI framew	text
c4dbc33968	1	335	#/texts/326	Logging Model As Code	section_header
179b3efe84	1	336	#/texts/327	Before the advent of GenAI, developing ML models p	text
43406c2554	1	337	#/texts/328	However, with the surge in popularity of GenAI, th	text
1001a64c87	1	338	#/texts/329	Databricks Vector Search to retrieve relevant docu	list_item
04ccd14575	1	339	#/texts/330	LLM hosted on the Databricks Foundation Model API 	list_item
6438847d0d	1	340	#/texts/331	As we saw in the previous section, using the tradi	text
015d107ed2	1	341	#/texts/332	With this approach, MLflow saves the Python script	text
87cac52e3b	1	342	#/texts/333	tool_calling_agent.py	code
25464a77f6	1	343	#/texts/334	that contains our agent logic. Then, at the bottom	text
1a0ba12779	1	344	#/texts/335	mlflow . models . set_model ( model = lc_agent )	code
592e9b3850	1	345	#/texts/336	The	text
522820dc5b	1	346	#/texts/337	set_model	code
90c3619133	1	347	#/texts/338	method is to tell MLflow that this is the model to	text
d0044bf62e	1	348	#/texts/339	import yaml	code
de5596e90d	1	349	#/texts/340		code
20efb42d16	1	350	#/texts/341	with open ( \"../conf/chapter04_conf.yml\" , \"r\" ) a	code
0d2fc0a98a	1	351	#/texts/342		code
087a12c5c4	1	352	#/texts/343	databricks_resources = model_config . get ( \"datab	code
1f28379897	1	353	#/texts/344		code
c1d5823ae6	1	354	#/texts/345	retriever_config = model_config . get ( \"retriever	code
62bad95591	1	355	#/texts/346		code
85cb33ae49	1	356	#/texts/347	llm_config = model_config . get ( \"llm_config\" )	code
f7fd2096e4	1	357	#/texts/348		code
53c20d0da1	1	358	#/texts/349	from tool_calling_agent import lc_agent	code
9940618dde	1	359	#/texts/350		code
3da3853d88	1	360	#/texts/351	lc_agent . invoke ( model_config . get ( \"input_ex	code
5ea7283a22	1	361	#/texts/352	The tool-calling agent should respond in a similar	text
d441d1348c	1	362	#/texts/353	# python	code
8125c1a76d	1	363	#/texts/354		code
57f5f06228	1	364	#/texts/355	logged_model_name = \"tool_calling_agent_from_code\"	code
5cb9a1d4f8	1	365	#/texts/356		code
9b1822ef3f	1	366	#/texts/357	active_model_info = mlflow . set_active_model ( na	code
2270a3cf1d	1	367	#/texts/358		code
c0acf430aa	1	368	#/texts/359	print ( f \"Active LoggedModel: ' { active_model_in	code
48b73235b5	1	369	#/texts/360		code
f637e81325	1	370	#/texts/361	)	code
d1fe24cb13	1	371	#/texts/362	Like before, we have to define our model signature	text
b820684f9f	1	372	#/texts/363	import os	code
7b28f6ba5a	1	373	#/texts/364		code
61f52317ec	1	374	#/texts/365	from mlflow.models import infer_signature	code
15c3934ca7	1	375	#/texts/366		code
076c909d8f	1	376	#/texts/367	from mlflow.models.resources import ( DatabricksSe	code
08cd09b33a	1	377	#/texts/368		code
95aeae05d0	1	378	#/texts/369	lc_agent_signature = infer_signature ( model_input	code
f9bac772d0	1	379	#/texts/370		code
f11dd2150f	1	380	#/texts/371	)	code
172c530411	1	381	#/texts/372		code
ee3c9bb292	1	382	#/texts/373	dependent_resources = [ DatabricksServingEndpoint 	code
7b9c87d71c	1	383	#/texts/374		code
284094a09a	1	384	#/texts/375	]	code
7f2ec0d60a	1	385	#/texts/376	Now we can log our tool-calling agent:	text
01add64de7	1	386	#/texts/377	image_filename = \"lc_agent.png\"	code
8b4b3f3a2f	1	387	#/texts/378		code
58e26f95e0	1	388	#/texts/379	tool_calling_agent_script_path = \"tool_calling_age	code
65f406f838	1	389	#/texts/380		code
6bbbd06cd1	1	390	#/texts/381	tool_calling_agent_conf_path = \"../conf/chapter04_	code
1704387305	1	391	#/texts/382		code
20c3f117c1	1	392	#/texts/383	uc_model_conf_path = \"../conf/uc_model_registry.ym	code
e62d95c5c5	1	393	#/texts/384		code
cf51724e4e	1	394	#/texts/385	with open ( uc_model_conf_path , \"r\" ) as f : uc_m	code
780f8903e0	1	395	#/texts/386		code
277a57c655	1	396	#/texts/387	with mlflow . start_run (): logged_agent_info = ml	code
3ab740d681	1	397	#/texts/388	Similarly, we are using the same	text
60ed6f7ff1	1	398	#/texts/389	mlflow.langchain.log_model	code
77e2266e60	1	399	#/texts/390	method to log our agent, with a few key difference	text
2faa08833a	1	400	#/texts/391		list_item
47b9c0160b	1	401	#/texts/392	Instead of the actual	text
67e5b81b69	1	402	#/texts/393	tool_calling_agent	code
346e690534	1	403	#/texts/394	, the	text
7eef6ff9f1	1	404	#/texts/395	lc_model	code
3bdd8d501e	1	405	#/texts/396	parameter now points to our	text
9a5848a38a	1	406	#/texts/397	tool_calling_agent.py	code
1721402823	1	407	#/texts/398	script, which contains the model definition.	text
b74be531f3	1	408	#/texts/399		list_item
3d656bc008	1	409	#/texts/400	We introduce a new parameter,	text
9171dec127	1	410	#/texts/401	code_paths	code
6fc131293a	1	411	#/texts/402	, which specifies the paths to any dependencies or	text
e0e5ba2658	1	412	#/texts/403	tool_calling_agent.py	code
b7586b6b83	1	413	#/texts/404	. For example, this script relies on several confi	text
bd17b97e5b	1	414	#/texts/405	conf/	code
1c1389acce	1	415	#/texts/406	folder. By specifying	text
f82eb068cf	1	416	#/texts/407	code_paths	code
3cfd35aa64	1	417	#/texts/408	, these additional files are included during loggi	text
ee06fa3f65	1	418	#/texts/409		list_item
a27e61bc2d	1	419	#/texts/410	We use the	text
7ed06a4ccc	1	420	#/texts/411	registered_model_name	code
5c41371c63	1	421	#/texts/412	to register our model in Unity Catalog. This helps	text
a23d1374ec	1	422	#/texts/413	Chapter 8	text
be3219ec78	1	423	#/texts/414	.	text
2731fd2bbc	1	424	#/texts/415	Heading back to MLflow Experiment UI, we can see t	text
9d48970953	1	425	#/texts/416	tool_calling_agent_from_code	code
3116b0a9ef	1	426	#/texts/417	is created. Clicking into the version and selectin	text
059923d42d	1	427	#/texts/418	Figure 4-10	text
04320a72d7	1	428	#/texts/419	).	text
9bb5968513	1	429	#/pictures/9	Screenshot of the MLflow Experiment UI showing the	picture
7b6d6bbc62	1	430	#/texts/421	To ensure the logged tool calling will still work 	text
93915ef128	1	431	#/texts/422	loaded_agent = mlflow . langchain . load_model ( l	code
a12406b474	1	432	#/texts/423		code
a2f595d9fb	1	433	#/texts/424	loaded_agent . invoke ( model_config . get ( \"inpu	code
ed0cc92446	1	434	#/texts/425	The tool-calling agent should load successfully an	text
c01d5971e2	1	435	#/texts/420	Screenshot of the MLflow Experiment UI showing the	caption
9816e29174	1	436	#/texts/426	Conclusion and Key Takeaways	title
fcfbb1b9fb	1	437	#/texts/427	In this chapter, we demonstrated how to use MLflow	text
edf6dbfdc4	1	438	#/texts/428	Versioning may seem trivial, yet many practitioner	text
a57ad6cffe	1	439	#/texts/429	MLflow addresses these challenges by automating th	text
2cf9e813d9	1	440	#/texts/430	Unlike traditional ML models, a GenAI application 	list_item
ba7bdcd019	1	441	#/texts/431	Versioning across iteration cycles is essential fo	list_item
b48c2c96dc	1	442	#/texts/432		list_item
16e9169262	1	443	#/texts/433	Use	text
eeb1d29f4c	1	444	#/texts/434	mlflow.set_active_model	code
9e36c80ac6	1	445	#/texts/435	to track each version of your GenAI application an	text
d126424bb2	1	446	#/texts/436	Traditional model serialization methods aren't sui	list_item
3c46bba416	1	447	#/texts/437	In this chapter, we briefly introduced MLflow trac	text
61c9428c60	1	448	#/texts/438	mlflow.langchain.autolog()	code
b3aac3d9a9	1	449	#/texts/439	function, we saw how traces are automatically capt	text
